"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
1HOPSAT-TD (1st-generation High Optical Performance Satellite),1HOPSAT-TD,USA,Commercial,Earth Observation,576,2019-12-11
Aalto-1 ,Aalto-1,Finland,Civil,Technology Development,517,2017-06-23
AAUSat-4,AAUSat-4,Denmark,Civil,Earth Observation,687,2016-04-25
"ABS-2 (Koreasat-8, ST-3)",ABS-2,Multinational,Commercial,Communications,"35,793",2014-02-06
ABS-2A,ABS-2A,Multinational,Commercial,Communications,"35,700",2016-06-15
ABS-3A ,ABS-3A,Multinational,Commercial,Communications,"35,803",2015-03-02
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,Multinational,Commercial,Communications,"35,793",2004-03-13
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,Multinational,Commercial,Communications,"35,794",1999-09-26
Adelis-Sampson 1,Adelis-Sampson 1,Israel,Government,Technology Development,561,2021-03-22
Adelis-Sampson 2,Adelis-Sampson 2,Israel,Government,Technology Development,599,2021-03-22
Adelis-Sampson 3,Adelis-Sampson 3,Israel,Government,Technology Development,561,2021-03-22
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA 311,USA,Military,Earth Observation,"35,800",2020-12-11
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA 139,USA,Military,Earth Observation,"36,013",1998-05-09
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA 171,USA,Military,Earth Observation,"35,984",2003-09-09
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA 202,USA,Military,Earth Observation,"35,937",2009-01-18
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA 223,USA,Military,Earth Observation,"35,500",2010-11-21
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA 237,USA,Military,Earth Observation,"35,805",2012-06-29
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA 268,USA,Military,Earth Observation,"35,903",2016-06-11
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA 235,USA,Military,Communications,"35,801",2012-05-03
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA 246,USA,Military,Communications,"35,803",2013-09-18
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA 288,USA,Military,Communications,"35,790",2018-10-17
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)",USA 292,USA,Military,Communications,"35,810",2019-08-08
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA 298,USA,Military,Communications,"35,780",2020-03-26
Aeneas,Aeneas,USA,Government,Technology Development,790,2012-09-13
Aeolus,Aeolus,ESA,Government,Earth Observation,317,2018-08-22
Aerocube 10A (Jimsat),Aerocube 10A,USA,Commercial,Technology Development,481,2019-08-09
Aerocube 10B (Dougsat),Aerocube 10B,USA,Commercial,Technology Development,483,2019-08-09
Aerocube 11A (TOMSat Eagle Scout),Aerocube 11A,USA,Commercial,Technology Development,511,2018-12-17
Aerocube 11B (TOMSat R3),Aerocube 11B,USA,Commercial,Technology Development,511,2018-12-17
Aerocube 12A,Aerocube 12A,USA,Commercial,Technology Development,487,2018-07-16
Aerocube 12B,Aerocube 12B,USA,Commercial,Technology Development,487,2018-07-16
Aerocube 14A,Aerocube 14A,USA,Military,Technology Development,474,2020-01-31
Aerocube 14B,Aerocube 14B,USA,Military,Technology Development,474,2020-01-31
